# ward
Id;Title;DepartmentId
1;101;2
2;102;2
3;103;2
4;104;2
5;105;2
6;106;2
7;107;2
8;108;2
9;109;2
10;110;2
11;111;2
12;112;2
13;113;2
14;114;2
15;115;2
16;116;2
17;117;2
18;118;2
19;101;3
20;102;3
21;103;3
22;104;3
23;105;3
24;106;3
25;107;3
26;108;3
27;109;3
28;110;3
29;111;3
30;112;3
31;113;3
32;114;3
33;115;3
34;116;3
35;117;3
36;118;3

#HospitalBed
Id;Title;WardId;IsFree
1;А;1;True
2;Б;1;True
3;В;1;True
4;Г;1;True
5;Д;1;False
6;А;2;False
7;Б;2;True
8;В;2;True
9;Г;2;True
10;Д;2;False
11;А;3;True
12;Б;3;False
13;В;3;False
14;Г;3;False
15;Д;3;False
16;Е;3;False
17;А;4;True
18;Б;4;True
19;В;4;False
20;Г;4;False
21;А;5;False
22;Б;5;False
23;В;5;False
24;Г;5;False
25;А;6;False
26;Б;6;False
27;В;6;False
28;Г;6;False
29;А;7;False
30;Б;7;True
31;В;7;False
32;Г;7;False
33;А;8;False
34;Б;8;False
35;В;8;False
36;А;9;False
37;Б;9;False
38;В;9;False
39;А;10;False
40;Б;10;True
41;В;10;False
42;А;11;False
43;Б;11;False
44;В;11;False
45;Г;11;False
46;А;12;False
47;Б;12;False
48;В;12;True
49;Г;12;False
50;А;13;False
51;Б;13;False
52;В;13;False
53;Г;13;False
54;А;14;False
55;Б;14;False
56;В;14;False
57;Г;14;False
58;А;15;False
59;Б;15;False
60;В;15;False
61;Г;15;False
62;Д;15;False
63;Е;15;False
64;А;16;False
65;Б;16;False
66;А;17;False
67;Б;17;False
68;А;18;False
69;Б;18;False

#User
Id;Password;RoleId
1;00KG;3
2;KGIF;3
3;PXGL;3
4;IHM2;3
5;DT84;2
6;ITET;2
7;M7GG;3
8;FF8B;3
9;61P2;3
10;KPH6;3
11;F3ZX;3
12;GO79;3
13;MYME;3
14;4QC8;3
15;TDPZ;1
16;SIBZ;3
17;S140;3
18;V8MJ;3
19;YL7V;3
20;MH7A;3

#TreatmentEvent
Id;DateTime;DoctorId;EventTypeId;Title;Results;Recommendations;PatientId;Price
1;09.12.2023 22:36;11;2;УЗИ Сердца;Обнаружено;Консультация терапевта;1;1700
2;16.03.2023 19:17;11;2;УЗИ Печени;Не обнаружено;Консультация терапевта;2;1500
3;08.01.2025 8:00;11;2;УЗИ Почек;Обнаружено;Консультация терапевта;3;1300
4;31.10.2023 13:23;11;2;УЗИ Ног;Не обнаружено;Консультация терапевта;4;1500
5;16.10.2023 10:10;11;2;УЗИ Легких;Обнаружено;Консультация терапевта;5;1330
6;11.07.2023 1:46;11;2;УЗИ Сердца;Обнаружено;Консультация терапевта;6;1550
7;06.02.2024 5:29;11;2;УЗИ Печени;Не обнаружено;Консультация терапевта;7;1770
8;17.10.2024 18:41;11;2;УЗИ Почек;Обнаружено;Консультация терапевта;8;1880
9;06.09.2023 3:48;11;2;УЗИ Ног;Не обнаружено;Консультация терапевта;9;1330
10;15.03.2024 20:52;11;2;УЗИ Легких;Обнаружено;Консультация терапевта;10;1800

#Specialization
Id;Title
1;Терапевт
2;Педиатр
3;Офтальмолог
4;Невролог
5;Стоматолог
6;Онколог
7;Врач общей практики
8;Акушер-гинеколог
9;Анестезиолог-реаниматолог
10;Травматолог
11;Врач ультразвуковой диагностики
12;Инфекционист
